scientific_name,is_invasive,ph_source,growth_ph_minimum,growth_ph_maximum,native_region_count,habit_Forb/herb,"habit_Forb/herb, Shrub","habit_Forb/herb, Shrub, Subshrub","habit_Forb/herb, Shrub, Subshrub, Tree","habit_Forb/herb, Shrub, Tree","habit_Forb/herb, Subshrub","habit_Forb/herb, Vine",habit_Graminoid,"habit_Graminoid, Shrub",habit_Nonvascular,habit_Shrub,"habit_Shrub, Forb/herb, Subshrub","habit_Shrub, Subshrub","habit_Shrub, Subshrub, Forb/herb","habit_Shrub, Tree","habit_Shrub, Vine","habit_Shrub, Vine, Tree",habit_Subshrub,"habit_Subshrub, Forb/herb","habit_Subshrub, Forb/herb, Shrub","habit_Subshrub, Shrub","habit_Subshrub, Shrub, Forb/herb","habit_Subshrub, Shrub, Forb/herb, Tree","habit_Subshrub, Shrub, Graminoid","habit_Subshrub, Vine","habit_Subshrub, Vine, Forb/herb",habit_Tree,"habit_Tree, Shrub","habit_Tree, Shrub, Forb/herb","habit_Tree, Shrub, Subshrub, Forb/herb","habit_Tree, Shrub, Vine","habit_Tree, Subshrub, Shrub",habit_Unknown,habit_Vine,"habit_Vine, Forb/herb","habit_Vine, Shrub","habit_Vine, Subshrub",light_2.0,light_3.0,light_4.0,light_5.0,light_6.0,light_7.0,light_8.0,light_9.0,light_Unknown,growth_rate_Moderate,growth_rate_Rapid,growth_rate_Slow,reproduction_Vegetative,dispersal_Animal,inat_taxon_id,growth_minimum_precipitation_mm
Limonium redivivum,0,genus_inferred,0.3341520204296231,0.08339258591624532,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,1193077.0,0.15308620509475435
Lysimachia paridiformis,0,genus_inferred,-0.16584797957037695,-0.08327408075042159,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,1139316.0,0.17160472361327284
Larix fernleyii,0,genus_inferred,0.0008186870962898496,-0.08327408075042159,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,,-0.050617498608949374
Croton isabellei,0,genus_inferred,-0.8325146462370437,-0.2499407474170881,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,,-0.050617498608949374
Dryas octopetala subsp. alaskensis,0,species_exact,0.0008186870962898496,0.5833925859162454,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,,-0.16172860972006048
Galium hardhamae,0,genus_inferred,-0.16584797957037695,0.08339258591624532,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,,-0.02945347744492821
Pilosella notha,0,genus_inferred,-0.33251464623704374,-0.5832740807504213,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,1648580.0,-0.13703725169536907
Polygonum polygaloides subsp. kelloggii,0,genus_inferred,0.3341520204296231,0.08339258591624532,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,,-0.050617498608949374
Vaccinium myrsinites,0,genus_inferred,-0.4991813129037105,-0.08327408075042159,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,170106.0,0.1938269458354951
Liatris oligocephala,0,genus_inferred,0.0008186870962898496,0.18339258591624497,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,164696.0,-0.050617498608949374
